source	target	distance_nm
ALCH	TXAS	531.80
ALCH	TXBC	647.52
ALCH	TXCF	531.80
ALCH	TXCM	504.77
ALCH	TXCT	591.17
ALCH	TXDC	647.75
ALCH	TXDL	591.17
ALCH	TXDM	591.17
ALCH	TXDR	733.09
ALCH	TXDS	591.17
ALCH	TXFW	531.80
ALCH	TXHD	504.77
ALCH	TXHH	492.96
ALCH	TXHI	492.96
ALCH	TXHS	647.52
ALCH	TXJS	481.66
ALCH	TXLM	752.98
ALCH	TXLP	1000.45
ALCH	TXMC	504.77
ALCH	TXMH	492.96
ALCH	TXPL	531.80
ALCH	TXPM	504.77
ALCH	TXSP	504.77
ALCH	TXSW	556.56
ALCH	TXTC	492.96
ALCH	TXTX	504.77
ALCH	TXUC	647.52
ALCH	TXVA	492.96
ALCH	UTLD	1271.84
ALCH	UTMC	1272.91
ALCH	UTPC	1272.91
ALCH	VACH	553.46
ALCH	VAFH	567.02
ALCH	VAHD	517.65
ALCH	VAMC	517.65
ALCH	VAMV	517.65
ALCH	VANG	553.46
ALCH	VAUV	487.84
ALCH	VTMC	912.28
ALCH	WACH	1808.28
ALCH	WASH	1619.87
ALCH	WASM	1808.28
ALCH	WAUW	1808.28
ALCH	WAVM	1808.28
ALCH	WICH	574.48
ALCH	WISE	574.48
ALCH	WISL	574.48
ALCH	WIUW	586.97
ALCH	WVCA	384.01
ALCH	WVWU	493.71
ALUA	ALCH	0.00
ALUA	ALVA	0.00
ALUA	ARBH	282.74
ALUA	ARCH	282.74
ALUA	ARUA	282.74
ALUA	AZCH	1263.79
ALUA	AZGS	1263.79
ALUA	AZMC	1263.79
ALUA	AZSJ	1263.79
ALUA	AZUA	1220.08
ALUA	CACH	1523.75
ALUA	CACL	1564.77
ALUA	CACS	1564.77
ALUA	CAGH	1527.99
ALUA	CAHP	1550.99
ALUA	CAIM	1547.60
ALUA	CALA	1571.45
ALUA	CALL	1516.31
ALUA	CAMB	1747.75
ALUA	CAPC	1736.37
ALUA	CAPM	1747.75
ALUA	CASD	1527.99
ALUA	CASF	1747.75
ALUA	CASG	1702.77
ALUA	CASH	1523.75
ALUA	CASJ	1547.60
ALUA	CASM	1702.77
ALUA	CASU	1736.93
ALUA	CAUC	1564.77
ALUA	CAUH	1564.77
ALUA	COCH	944.39
ALUA	COPM	951.14
ALUA	COSL	951.14
ALUA	COUC	944.39
ALUA	CTHH	832.86
ALUA	CTYN	809.58
ALUA	DCCH	572.79
ALUA	DCGU	572.79
ALUA	DCGW	572.79
ALUA	DCWH	572.79
ALUA	DCWR	573.32
ALUA	DEAI	658.55
ALUA	DECC	648.48
ALUA	FLAC	407.22
ALUA	FLCC	556.89
ALUA	FLFH	409.23
ALUA	FLHM	393.70
ALUA	FLJD	569.11
ALUA	FLJM	579.33
ALUA	FLLM	395.90
ALUA	FLMR	569.11
ALUA	FLSH	187.50
ALUA	FLSL	325.00
ALUA	FLTG	403.11
ALUA	FLUF	326.48
ALUA	GAEH	121.49
ALUA	GAEM	121.49
ALUA	GAMC	241.99
ALUA	GAPH	121.49
ALUA	HIQM	3791.35
ALUA	IAIM	583.31
ALUA	IAIV	538.41
ALUA	IAVA	538.41
ALUA	ILCH	494.39
ALUA	ILCM	503.72
ALUA	ILLU	504.83
ALUA	ILMM	401.42
ALUA	ILNM	503.72
ALUA	ILPL	503.72
ALUA	ILSF	451.32
ALUA	ILUC	503.72
ALUA	ILUI	503.72
ALUA	ILVA	503.30
ALUA	INIM	376.82
ALUA	INSV	376.82
ALUA	KSUK	506.20
ALUA	KYJH	289.02
ALUA	KYKC	289.02
ALUA	KYUK	294.32
ALUA	LACH	270.95
ALUA	LAOF	270.95
ALUA	LATU	272.86
ALUA	LAWK	355.18
ALUA	MABI	913.50
ALUA	MABS	847.58
ALUA	MABU	913.50
ALUA	MACH	913.50
ALUA	MALC	912.94
ALUA	MAMG	913.50
ALUA	MANM	913.50
ALUA	MAPB	913.50
ALUA	MAUM	882.38
ALUA	MDJH	602.19
ALUA	MDUM	602.19
ALUA	MEMC	984.48
ALUA	MIBH	566.10
ALUA	MICH	558.59
ALUA	MIDV	570.09
ALUA	MIHF	558.59
ALUA	MISH	570.09
ALUA	MISJ	558.59
ALUA	MISM	570.09
ALUA	MIUM	546.05
ALUA	MNAN	750.86
ALUA	MNCM	750.86
ALUA	MNHC	750.86
ALUA	MNMC	684.34
ALUA	MNUM	750.86
ALUA	MOBH	348.28
ALUA	MOCG	348.28
ALUA	MOCH	348.28
ALUA	MOCM	503.94
ALUA	MOLH	503.94
ALUA	MORH	503.94
ALUA	MOSL	348.28
ALUA	MOUM	422.30
ALUA	MSUM	185.70
ALUA	NCBG	358.77
ALUA	NCCM	312.88
ALUA	NCDU	417.42
ALUA	NCEC	483.19
ALUA	NCMH	408.72
ALUA	NDMC	1021.63
ALUA	NDSL	922.82
ALUA	NECH	637.00
ALUA	NEUN	637.00
ALUA	NHDH	912.77
ALUA	NJBI	743.37
ALUA	NJHK	753.24
ALUA	NJLL	681.59
